,comment,sentiment,comment_len
43,به هرحال اگه یه گوشی دو سیمکارته با آندروید به روز و سخت افزار قدرتمند به همراه دوربین نسبتا عالی و صفحه نمایش بزرگ میخواهید و از باتری توقع بالایی ندارید و درضمن وزن و ضخامتش رو به مزایاش می بخشید HTC Desire SV را جز برترین انتخاب های خود بدانید,1,51
44,حدود دو هفته بعد از خرید بود که متوجه شدم دستگاه در خواندن بازی های کپی مشکل داره و بعضی را اصلا نمیخونه و برخی هم در حین بازی هنگ میکنه,-1,31
45,سرعت تایپ کردن ما با آن از صفحه کلید هر گوشی دیگری بهتر بود,1,14
46,در ادامه بیشتر توضیح می دهیم,0,6
47,نسل جدید لپ تاپ های MacBook Pro با قابلیت Retina Display که تنها در سایز ۱۵٫۴ اینچ عرضه می شود دارای مشخصات رویایی یک سیستم قابل حمل می باشد,0,30
48,من همین امروز این گوشی رسید دستم,0,7
49,xbox ۳۶۰ core system قابل خریداری در تاریخ ۲۲ نوامبر ۲۰۰۵ بدون فضای ذخیره سازی بصورت هارد دیسک همراه دستگاه سفید رنگ با دیسک درایو سفید,0,26
50,رنگ های تولید شده بسیار زنده و طبیعی بوده متون بسیار شارپ و دقیق نمایش داده می شوند و زاویه دید آن نیز عالیست,2,24
51,میشه گفت این محصول انقلاب امسال اپل بود,1,8
52,و اینکه ایراد دیگری به جز اون نتونستم بگیرم,0,9
53,ولی بازم جای امید است که با یک کم دستکاری در تنظیمات گوشی می توانید عکسهای بهتری بگیرید مثلا خود من برای اینکه عکسهای واضح تری داشته باشم iso را روی ۸۰۰ قرار دادم و روشنایی عکسها را یک درجه زیاد کردم که اینجوری وضوح عکسها زیادتر شد,1,47
54,صدای کم اسپیکر و خروجی هدفون,-1,6
55,این رو بدونین که اپل اول برای سیستم نظامی به کار میرفته و بعدا برای استفاده عموم ازاد شده,0,19
56,همچنین بطور پیش فرض از Flash پشتیبانی میکند,1,8
57,به هر صورت همانطور که گفتیم W۶۳۰ مدل دیگری از دوربین های کامپکت ارزان قیمت سونی می باشد که امکانات و کیفیتی بسیار عالی را ارائه می دهد و عملکرد لنز آن در شرایط نوری ضعیف نیز فوق العاده است,2,41
58,همه چیزش خوبه و تنها مشکلش گرافیکش هست که ۳D ساپورت نمیکنه,0,12
59,من میخواستم I۹۳۰۰ S۳ بخرم ولی وقتی اینو دیدم گفتم ارزش یکم صبر کردنو داره,0,16
60,بدین صورت که لنز در قسمت بالا و سمت راست قرار گرفته و عمل زوم کاملا داخلی صورت می گیرد,0,20
61,مودهای عکاسی خیلی متنوع هستند,2,5
62,احتمالا تا ۲ ماه آینده بخرم,0,6
63,پشتیبانی دیجی کالا خیلی خوب در مورد خرید راهنماییم کرد و این هارد رو خریدم,1,15
64,ضمن اینکه اگر از کابل HDMI استفاده کنید کیفیت بازی ها به حداکثر خودش میرسه و اونجاست که قدرت Xbox ۳۶۰ Slim معلوم میشه هرچند PS۳ هم خیلی عالی هستش و به نظرم هردو در یک سطح هستند,0,38
65,تماشای فیلم از طریق USB با قابلیت ConnectShare Movie کافی است که حافظه خارجی خود را به تلویزیون وصل کرده و فورا از فیلم ها عکس ها یا آهنگ های دلخواه خود لذت ببرید,1,34
66,سلام دوستان عزیز واقعا گوشی فوق العاده ای هستش حتی الان توی قیمت خودش یه دونست ولی لطفا با گارانتی بخرید دوست من همین گوشی رو شب تا صبح به شارژ زد تاچ ال سی دیش سوخت خلاصه دقت کنید توی خرید سامسونگ با این حال من هنوز عاشق سامسونگم ولی اگه بخوام بخرم حتما با گارانتی معتبر میخرم,1,59
67,اگه کارت حافظه میخورد یا حداقل حافظه داخلیش زیاد تر بود رقیب خوبی برای ۹۲۰ میشد,0,16
68,مطمئنا برای یک ورزشکار بهترین راه حمل یک دوربین در دست گرفتن آن نیست بلکه GoPro HD را به طرق مختلف می توانید به همراه خود داشته باشید,0,27
69,ولی ریجن PAL و NTSC J Asia در جعبه ی خود دارای پاور آداپتور ۲۲۰ ولت هستند که به هیچ ترانسی احتیاج ندارند,0,23
70,سخت افزار پردازنده یک گیگا هرتزی که در این گوشی به کار رفته سبب جلب رضایت کامل کاربر در هنگام کار با گوشی استفاده از برنامه های مختلف و یا گشت زنی در اینترنت گشته است,1,35
71,یکی از راه های به همراه داشتن این دوربین بستن آن به قسمت سر به وسیله ی سربندی است که درست شبیه به سر بند هدلایت ولی کاملا با کیفیت و قدرتمندتر می باشد,2,34
72,جالب اینجاس که Beats رو به هر سیستم دیگه ای وصل کرده بودم شاهد همچین کیفیتی نبودم Volume این کوچولو معلوم نیست تا چه حدی زیاد میشه اصلا حاضر نیست کم بیاره,1,31
73,حتی شرکت بزرگ مایکروسافت هم در صفحه آغازین سایت ویندوز فون خود این سایت رو با تصاویری از سری لومیای نوکیا زیباتر کرده و قابل توجه کسانی که اعلام می کنند برای این سیستم عامل نرم افزار نیست باید گفت که فقط ۱۲۶۰۰۰ نرم افزار در سایت ویندوزفون وجود داره و این گوشی هم از هر لحاظ کامل و بدون نقصه چرا که سیستم عامل ویندوز فون بر عکس اندروید و آی ا اس نیازی به رم خیلی بالا نداره و کاملا روان و راحت کار می کنه,1,88
74,تلویزیون خوبیه نسبت به قیمتش,1,5
75,سلام من تست تمام گوشی های هوشمند برتر بازار رو خوندم,0,11
76,سری A دوربین های کامپکت کانن ارزان قیمت ترین و ابتدایی ترین رده ی دوربین های کامپکت این شرکت می باشند,0,21
77,اما هدف اصلی از خرید این کنسول برای اکثر کابران استفاده از بازی های سه بعدی فوق العاده با کیفیت بر روی این کنسول است این کنسول بازی از زمان انتشار از سه نوع پک بازی برخوردار بود به نام های XBOX ۳۶۰ Premium XBOX ۳۶۰Core System و XBOX ۳۶۰ Elite عرضه می شد,2,55
78,بدین ترتیب قابلیت های عکاسی در شب W۶۳۰ بهتر از W۶۷۰ است,1,14
79,در ضمن قیمت مناسبش و خوشدستی و زیباییش هم جای خودشو داره فقط هنوز براش ضد خش و کیف نیومده که ایشالله اونم می یاد,1,25
80,رزولوشن صفحه اش پایینه در حالی که تبلت های ۷ اینچی خوب مانند Ainol novo ۷ venus و یا nexus ۷ و,-1,22
81,در پشت نیز پورت صدا و تصویر,0,7
82,برای مقایسه ی قدرت واقعی ویندوز فون ۸ با اندروید باید منتظر ارایه رامهای جیلبرک شده بود که احتمالا تا اوایل تابستان ۹۲ طول خواهد کشید,0,24
83,عالیه,2,1
84,به نظرم sony xperia s بهتره برتریهای xperia s را میتوان به دلایل زیر ربط داد دوربیم ۱۲ مگاپیکسلی زوایای دید بالا رزولوشن صفحه خیلی بالا بالا بودن حافظه داخلی سرعت فرکانس بیشتر و,2,34
85,من هر شب گوشی رو شارژ میکنم,0,7
86,علاوه بر روش های مختلف اتصال دوربین به بدن ورزشکار که منجر به ثبت تصاویر از زوایای دید بسیار جذاب و طبیعی می شوند این دوربین باید از ویژگی های محافظتی خوبی هم بهره ببرد تا در صورت مواجه با خطرات مختلف از قبیل ورود ضربه یا خیس شدن دوام بیاورد,1,51
87,من ۶ماه این گوشیرو دارم و تازگی به Belle آپدیت کردم,0,11
88,که این فقط یک پاسخ دارد و آن ادبیات کاربریست,0,10
89,اما کلید های کنترلی Start Back و Search در قسمت زیرین صفحه نمایش قرار دارند,0,15
90,سرعت وای فای,0,3
91,بنابراین شما با پرداخت مبلغ خیلی کمی می توانید یک دوربین عکاسی و یک دوربین فیلم برداری را به صورت توامان داشته باشید,1,22
92,این مشکل چاره ای هم دارد با خرید دایو اکسترنال اپل که آن هم BlueRay را پشتیبانی نمیکند تا بتوان سیستم عامل Windows را در این مدل نصب کرد۲ سیستم عامل Windows در MacBook ها آن علکردهای میانبر خود را ندارد از جمله عملگرهایی که نبودشان را احساس خواهید کرد دگمه Print Screen Menu و Ctrl Enter در مرورگرها می باشد,-1,60
93,۲۶۴ RealVideo ۸ SDP WMV,0,5
94,این لپ تاپ اصلا برای کسایی که گیمر یا به اصطلاح خوره ی بازی هستند توصیه نمی کنم,-1,18
95,چهار دکمه ی لمسی پایین یون واکنش خوبی ندارن,-1,9
96,از نظر قدرت سخت افزاری این گوشی یک گوشی سطح متوسط محسوب می گردد که از پس همه کارهای روزمره کاربرانش بر خواهد آمد به شرط اینکه اجرای بازی های سنگین گرافیکی را جزو برنامه های روزمره خود محسوب ننمایید,0,39
97,به هر صورت ویدیوها و عکس های گرفته شده با این دوربین کیفیت بسیار بالایی دارند و صدا هم با کیفیتی بسیار خوب به صورت استریو و بهتر از مدل های پیشین ضبط می شود,2,35
98,بنابراین شما می توانید دوربین را هم از طریق نمایشگر و هم از طریق دکمه های فیزیکی کنترل کنید,1,19
99,واقعا دوربین عالی هست,2,4
100,این قابلیت به کاربر امکان می دهد که بتواند با تعدادی از مخاطبین مورد نظر را انتخاب کرده و با آن ها تصاویر و اطلاعات خود را به اشتراک بگذارید,0,30
101,بی نظیر و عالی باورم نشده یه گوشی میتونه با این قیمت این کیفیت رو داشته باشه فقط لوازم جانبیش گیر نمیاد مثل قاب از هر نظر عالی,1,28
102,لرزش دست رو به بهترین حالت میگیره,2,7
103,موزیک پلیر و ویدئو پلیر این دستگاه نیز پلیر استاندارد سامسونگ است که کیفیت متوسطی را داراست و عملکرد قابل قبولی دارد,1,22
104,علاوه بر اینکه از طراحی زیبا و آرگونومیک بهره می برد مجهز به پردازنده ها ی Corei شرکت اینتل و کارت گرافیکی Nvidia GeForce ۶۳۰M شده است و در کل کانفیگ ها ی قدرتمندی دارد,2,35
105,آدیو جک ۳٫۵ میلی متری نیز در لبه ی بالا و پورت micro USB در لبه ی پایینی گوشی جایگذاری شده اند,0,21
106,در استفاده های معمولی تا دو روز می توانید با یک بار شارژ باتری از آن استفاده کنید,1,18
107,من شخصا آیپاد تاچ نسل چهار دارم که دستگاهی واقعا شگفت انگیزه,2,12
108,درب فلزی پشت بدنه گوشی به زیبایی آن افزوده است,1,9
109,همچنین فیلم برداری آن نیز Full HD و با سرعت ۳۰ فریم بر ثانیه صورت می پذیرد,0,17
110,علاوه بر این ها اتصالات WiFi و Ethernet هم وجود ندارد,0,11
111,گوشی به هیچ عنوان هنگ نمی کند حتی اگر چند روز مدام با گوشی کار کنید,1,16
112,خلاصه دوربین جالبیه,1,3
113,گرافیک کدوم بیشتره,0,3
114,سلام دوستان,0,2
115,این نشان می دهد که هنوز اعتقاد اپل به تنوع ظاهری کمتر برای انتخاب راحت تر کاربران وجود دارد,0,19
116,این تبلت که پردازنده چهار هسته ای ۱٫۶ گیگاهرتزی داره با تبلت ۷٫۷ اصلا قابل مقایسه نیست,0,17
117,اگه میتونید بگیرید در توانتون هست حتما تهیه کنید,0,9
118,وزن این دستگاه تقریبا ۲٫۵ کیلوگرم بوده و برای یک لپ تاپ ۱۵٫۶ اینچی بسیار مناسب است,2,18
119,دیروز این دوربینو از دیجی کالا خریدم تا شب فقط داشتم باهاش کار میکردم و همه جوره امتحانش کردم باید بگم که بسیار از خریدم راضی هستم چون کیفیت این دوربین فوق العاده است قبلش با دل چرکینی داشتم میخریدم چون فکر میکردم به پای کانن نرسه,2,47
120,جابز این موضوع رو به خوبی میدونست که باید همیشه علاوه بر ظاهر سازی یک چیز رو برای اولین بار هر چند ضعیف روی محصولاتش قرار بده Siri Retina Disply,0,30
121,به نظر من گوشی خیلی عالی هستش,2,7
122,عمر مفید کارکرد این کارتریج ها متفاوت است به طوری که برای هر یک داریم کارتریج مشکی PG ۴۴۰ با ظرفیت چاپ ۱۸۰ برگ و یا ۱۴۲۰ عکس کارتریج مشکی PG ۴۴۰XL با ظرفیت چاپ ۶۰۰ برگ و یا ۴۳۴۰ عکس کارتریج رنگی CL ۴۴۱ با ظرفیت چاپ ۱۸۰ برگ و یا ۶۷ عکس کارتریج رنگی CL ۴۴۱XL با ظرفیت چاپ ۴۰۰ برگ و یا ۱۳۵ عکس جمع بندی با توجه به تمامی ویژگی های بیان شده می توان گفت که این دستگاه یک چهار کاره ی بسیار خوب است,1,92
123,باطری هم بستگی به استفاده داره من خودم ۲ روز ۱بار شارژ میکنم و بنظرم باطریش مناسبه در ضمن کیفیت صفحه هم عالیه و عملکردش زیر نور آفتاب فوق العاده است برعکس خیلی از گوشی های دیگه,2,37
124,با این دو دکمه و نمایشگر LCD کوچکی که جلوی دوربین قرار دارد می توانید میان آپشن های مختلف و منوی دوربین حرکت کنید,1,24
125,همیشه وقتی صحبت از تلفن همراه میشد یکه تازه این عرصه اپل بود,1,13
126,قدرت پردازنده عالی٤,2,3
127,این مقدار در مقایسه با رقبای ۱۵٫۶ اینچی دیگر در این بازه قیمتی میزان متوسطی محسوب می شود,0,19
128,برای اونایی که گوشی های بزرگ رو دوست دارن بهترین گوشیه,2,11
129,اما در تست ها ی مصرف باتری که انجام دادیم در دو تست استرس زیاد و استفاده ی معمولی ما به ترتیب توانستیم شارژدهی ۲ ساعت و ۳۰ دقیقه و ۵ ساعت و ۳۰ دقیقه را از آن شاهد باشیم,0,40
130,تنها برتری دوربین کنون بر این دوربین رو توانایی زوم اپتیکال بیشتر و صفحه نمایش چرخنده اونه,0,17
131,سخت افزار از نظر سخت افزاری این تبلت بی نقص به نظر می رسد,1,14
132,البته در فاصله استاندارد گوشی از چشم پیکسل ها دیده نمی شوند اما اگر با دقت به صفحه نمایش نگاه کنید می توانید به راحتی پیکسل های صفحه نمایش را تشخیص دهید,0,32
133,ولی واقعا از ps۳ خیلی جلو زده,1,7
134,فقط یه عیبی دیدم تو این گوشی,-1,7
135,در ضمن لومیا ۶۲۰ دارای ۸ گیگابایت حافظه داخلی است که با توجه به پشتیبانی این گوشی از کارت حافظه جانبی تا ۳۲ گیگابایت دیگر نیز می توان به آن اضافه نمود,0,32
136,البته اگه زوم اپتیکالش بیشتر بود بهتر میشد,0,8
137,به جز همه ی این ها یک دکمه ی Wi Fi Fn۴ هم وجود دارد,0,15
138,همه چیزش عالیه,2,3
139,از دیگر مودهای موجود بر روی این دوربین می توان به Superior Auto Easy Shooting Scene selection Picture Effect و Background defocus اشاره کرد,0,24
140,من ۱۵ شهریور خریدم,0,4
141,خریدمش,0,1
142,من خودم به شخصه از داشتنش راضی هستم خودم هم این رو داشتم هم پلی استیشن۳ ولی به جرات میتونم بگم تفاوتی بین این دو ندیدم از جهاتی هم برتر بوده بازی ها از لحاظ گرافیکی هیچ فرقی با هم ندارن کافی که فقط کابل hdmiرو وصل کنید به تلویزیون و از بازی باهاش لذت ببرید امکانات سخت افزاری بالاتری رو نسبت به پلی استیشن داره و از همه مهمتر بازی های موجود تو بازارش از پلی استیشن بیشتر هستش و هم ارزون تر به نظرم اگر خواستید بین این دو غول کنسول بازی یکی رو انتخاب کنید ایکس باکس بهتره فقط باید از جای مطمئن خریداری کنید که دیجی کالا این امکان رو براتون فراهم میکنه و خیالتون راحت باشه و دست اخر اینکه هردو کنسول هر از گاهی احتیاج به اپدیت دارن تا بتونید با بازی های جدیدی که میاد بتونید بازی کنید اونم به دلیل اینکه بازی های جدید با گرافیک بالاتری میاد و اپدیت نرم افزاری لازم دارن تا از امکانات اون استفاده کنید درکل ایکس باکس خیلی بهتره,1,173
143,در سمت چپ گوشی درگاه micro USB و micro HDMI قرار دارند,0,12
144,ولی خوب اینفینتی هنگامی که به داک کیبوردش وصله مدت زمان بیشتری باطری نگه میداره,1,15
145,دوستمون در نقد بالایی نوشته سقوط نوکیا اما تعداد زیادی از سایت ها این گوشی رو نجات دهنده ویندوز فون و نوکیا می دونن با این قیمت پایینش,1,28
146,گوشی باید چیز کوچیک و جم و جور باشه که حملش راحت باشه,0,13
147,تنها سایت مطمئن و مردمی فقط دی جی کالا,1,9
148,میخواستم ببینم واقعیت داره این حرفها که اگه ۳ چراغ بشه اینطوری و اونطوری میشه,0,15
149,صدای اسپیکرشم کمه ولی هدفن صداش فوق العادست,1,8
150,من تازه این دوربینو خریدم فقط میتونم بگم محشره,2,9
151,این گوشی دارای مسنجر QWERTY بوده و همچنین از ۲ سیم کارت پشتیبانی می کند,1,15
152,با قابلیت AllShare Play می توانید فیلم عکس موسیقی و بسیاری فایل های رسانه ای دیگر را هر دستگاه سازگار شامل کامپیوترها که در نزدیکی تلویزیون قرار دارند پخش کنید,0,30
153,این صفحه نمایش قادر است ۱۶ میلیون رنگ را تولید نماید و همانند لومیا ۹۲۰ مجهز به تکنولوژی ClearBlack می باشد که باعث می گردد متون در آن بسیار خوانا تر باشند و عملکرد آن زیر نور آفتاب بسیار خوب باشد,2,41
154,مثل اینکه رم هم نمی خوره و مجبورن مشتری ها که نسخه ی ۶۴GB رو بخرن,-1,17
155,با وجود این رنگ های تولید شده توسط صفحه نمایش بسیار زنده و طبیعی هستند و زوایای دید آن نیز به خصوص در حالت افقی کاملا رضایت بخش است,2,29
156,لازم به ذکر است که درایو های Benq که به تازگی کپی خور شده اند فقط در مدل های Halo Edition سری های جدید Elite و هم چنین Premium های جدید که دارای ورودی HDMI و heatsink اضافه هستند وجود دارد,0,40
157,دوربین عالی,2,2
158,با این حال این سیستم عامل کلیه نیاز های اولیه کاربران را پاسخگو می باشد,1,15
159,دو کاور هم در بالا ی کلید ریکورد برای خروجی AV و برق و یکی هم روی ال سی دی برای mini HDMI و USB قرار دارند,0,27
160,نسبت به پولی که میدین پردازندش خوبه ولی چون پردازنده گرافیکی نداره برای بازی اصلا خوب نیست صفحه ی کوچیکش هم برای وب گردی مناسب نیست خودم یک سال این گوشیو داشتم,-1,32
161,توصیه میشه با هندزفری مخصوصش یا هندزفری بلوتوثی مکالمه کنید,0,10
162,نسبت به پولی که دارین میدین یه چیز رویایی میده,1,10
163,قیمت این دوربین کمی بالاست ولی تعجبی ندارد چون XR۵۵۰ از مدل های عالی و برای کاربران حرفه ای است,2,21
164,من این هارد رو دارم عالیه حرف نداره وقتی به کامپیوتر وصل میشه انگار فلش وصل کردی سه سوت میاد بالا اصلاهم سرعت کامپیوتر کم نمی شه بقیه هارد هایی که دیدم فقط یه ساعت طول می کشه بیاد بالا,2,40
165,وجود یک پورت HDMI و هارد دیسک ۱۲۰ گیگابایتی اصلی ترین تفاوت های Premium وElite به شمار می روند,0,19
166,خلاصه بگم میتونم این گوشی رو در حد گالاکسی اس سامسونگ قرار بدم,0,13
167,با قابلیت های ارتباطی بهتر می توانید فایل ها و برنامه های چندرسانه ای خود را آسان تر به اشتراک گذاشته و از آنها لذت ببرید,1,26
168,یه نکته دیگه که شاید کمتر کسی بهش دقت کرده باشه هندزفری با کیفیت و قدرتمندش که اگه ٢٤ ساعت آهنگ گوش بدید بیشتر مشتاق میشوید که از آن استفاده کنید که میتوان آن را رقیب هندزفری های beat دانست,0,40
169,و یه مشکل دیگه که من بهش برخوردم اینه که وقتی میخوای با جی پی اس تبلت اب و هوا رو لود کنی و محلی که هستم رو به صورت خودکار همراه با اب و هوا مثل سایر گوشیها یا تبلت ها نشون بده متاسفانه لود نمیکنه و انجام نمیشه,-1,50
170,امروز تحویل گرفتم تا حالا عالی بوده,2,7
171,در حالی که FT۱ توانایی تحمل فشار آب فقط تا عمق ۳ متری را داشت FT۳ می تواند فشار آب تا عمق ۱۲ متری را تحمل آورد تا حتی اگر یک غواص و یا علاقه مند به عکاسی زیر آب هستید بدون هیچ مشکلی بتوانید صحنه های بسیار زیبای بستر نزدیک به ساحل یک خلیج را عکاسی کنید,2,58
172,این گوشه های جدید سامسونگ همش شبیه همه,0,8
173,به طور کلی زمان پاسخ دهی صفحه نمایش این گوشی مناسب است و زوایای دید بسیار خوبی نیز دارد,2,19
174,دیگه حتی نیازی به مقایسه این گوشی با گوشیای دیگه نیست چون هم رده ای هم نداره,1,17
175,این چیپ از پردازنده ARM Cortex A۹ استفاده کرده و به راحتی جوابگوی تمامی برنامه ها و بازی های سیستم عامل iOS می باشد,1,24
176,بدین ترتیب که وقتی دوربین را بر روی این مود عکاسی قرار می دهید دوربین شما تبدیل به یک دوربین کاملا خودکار در عکاسی می شود,0,26
177,این گوشی در حقیقت برادر کوچک Xperia arc محسوب می شود,0,11
178,در شرایط نوری خوب این دوربین می تواند عکس های با کیفیت خیلی بالا تولید کند و با توجه به رزولوشن بالایی که سنسور دارد تفکیک جزئیات خیلی خوب صورت می گیرد,2,32
179,لبه جلویی آن بسیار نازک است ولی در قسمت بالایی آن ضخیم تر می شود,0,15
180,فیلم ها رو با کیفیت HD تماشا کنید,0,8
181,هرچند که ممکن است هزینه ی نگهداری و کارتریج آن کمی بیشتر از رقبا باشد,-1,15
182,در صفحه اصلی ۵ آیکون دفتر تلفن تماس ها نوت بوک پیام ها و برنامه ها قرار دارند,0,18
183,خوش بختانه با hotspot موبایلم به راحتی تونستم به gprs و edge کانکت شم و از اینترنت استفاده کنم,1,19
184,به لطف بهره گیری از این تکنولوژی به محض قرار دادن گوشی در داک تبلت هر آنچه را که بر روی گوشی خود مشاهده می کردید بر روی صفحه بزرگ تبلت نیز مشاهده خواهید کرد که در مورد این قابلیت در بخش نرم افزار توضیحات کامل تری خواهیم داد,0,47
185,فلاش LED این گوشی بسیار قدرتمند بوده و کمک بسیاری در کاهش نویز تصویر در فضاهای با نور کم می کند,2,21
186,احساس ضعیف شوک برق روی بدنه رو هم منم تایید می کنم,-1,12
187,هیچگاه اسیر پروپوگاندای شرکت های انتشار دهنده ی محدودیت نمی شوم و برای حقوق خود ارزش قائل می شوم,0,19
188,کیبورد و تاچ پد G۵۸۰ دارای یک کیبورد جزیره ای است که با نام کیبورد AccuType نیز شناخته شده و سمت راست این کیبورد بخش عددی جداگانه Numpad قرار دارد,0,31
189,بدیش هم ویندوزشه که اصلی نیست و وسایل جانبی نداره مثلا کیف,-1,12
190,در کل پرینتر خوبیه,1,4
191,پردازنده ای که قبل از این بر روی هیچ گوشی دیگری به کار نرفته بود و برای همه کاملا ناشناخته است,0,20
